"","Group.1","SUM","CK_1","CK_2","CK_3","CK_4","CK_5","R_A17_1","R_A17_2","R_A17_3","R_A17_4","R_A17_5","R_dmi2_1","R_dmi2_2","R_dmi2_3","R_dmi2_4","R_dmi2_5","R_dmi3_1","R_dmi3_2","R_dmi3_3","R_dmi3_4","R_dmi3_5","R_ipd3_1","R_ipd3_2","R_ipd3_3","R_ipd3_4","R_ipd3_5","R_lyk3_1","R_lyk3_2","R_lyk3_3","R_lyk3_4","R_lyk3_5","R_nfp_1","R_nfp_2","R_nfp_3","R_nfp_4","R_nfp_5","R_pt4_1","R_pt4_2","R_pt4_3","R_pt4_4","R_pt4_5","RS_A17_1","RS_A17_2","RS_A17_3","RS_A17_4","RS_A17_5","RS_dmi2_1","RS_dmi2_2","RS_dmi2_3","RS_dmi2_4","RS_dmi2_5","RS_dmi3_1","RS_dmi3_2","RS_dmi3_3","RS_dmi3_4","RS_dmi3_5","RS_ipd3_1","RS_ipd3_2","RS_ipd3_3","RS_ipd3_4","RS_ipd3_5","RS_lyk3_1","RS_lyk3_2","RS_lyk3_3","RS_lyk3_4","RS_lyk3_5","RS_nfp_1","RS_nfp_2","RS_nfp_3","RS_nfp_4","RS_nfp_5","RS_pt4_1","RS_pt4_2","RS_pt4_3","RS_pt4_4","RS_pt4_5"
"1","Acidobacteria",61010.4573863636,906.041351010101,2402.37784090909,2038.69034090909,1617.78440656566,830.701388888889,90.78125,106.222222222222,67.1840277777778,144.28345959596,77.4722222222222,328.361111111111,210.9375,99.2986111111111,92.6770833333333,157.353535353535,824.46875,92.53125,291.916666666667,70.40625,50.34375,6.25,59.25,29.4375,59.59375,26.4444444444444,17.3835227272727,17.625,55.9248737373737,22.84375,16.2222222222222,42.7534722222222,75.030303030303,28.03125,47.40625,43.4861111111111,6,0,19.59375,286.325441919192,18.71875,643.127525252525,557.8125,1226.60416666667,1486.01704545455,979.264835858586,985.177083333333,1894.04103535354,1342.21275252525,1445.625,2511.34659090909,1944.76515151515,1751.78472222222,1380.81912878788,1123.7702020202,947.164772727273,1497.76452020202,2178.05271464646,1387.20107323232,1167.90056818182,1746.18560606061,2833.89867424242,1739.85732323232,385.889204545455,675.142045454545,1025.68465909091,1891.67897727273,618.228535353535,1185.81881313131,749.386047979798,962.31029040404,840.219381313131,1759.29861111111,1853.50852272727,2718.44696969697,2196.29892676768
"2","Actinobacteria",90354.6002776485,320.977239711622,846.442048222259,356.770636417235,440.854283605592,398.838083012061,2077.17681703683,2470.08516949127,1000.83886457849,2760.15614025172,1441.21634077666,1356.53656622573,1706.90609352059,1861.61924538938,1197.15813337932,3225.6323593974,1551.78717235321,249.32511312694,467.068766832618,594.576337950912,983.409059182135,641.969610885154,2658.26656861239,2043.51058306143,4407.37321400197,2921.95340163702,2606.83901472098,1458.47893362617,1715.07952998164,999.030858614215,1468.4845440616,1433.17073187064,2090.68806346495,2226.2982140024,2978.97493627287,1343.00198643865,638.259715583695,1011.86636809759,339.31508694897,1107.50547629133,439.587451903855,419.425051738425,452.409361697517,1371.41890593473,690.668786648042,817.267281882289,318.595507104539,1126.63709450246,538.380214221739,2284.34248009925,1327.19935407641,1348.68822203945,855.692359525511,735.724769193458,698.235752516166,491.454209782094,841.587423073369,1249.83433830858,1091.2551801744,493.314751169271,1004.60790910447,2246.2736537513,807.338415103558,417.19427218929,311.240652753385,604.310979124184,734.479322750266,641.337149988966,556.527985368798,347.597834010699,560.44588746633,923.21870318524,1388.61740324574,748.071945256226,923.169530075534,1151.0088300473
"3","Bacteroidetes",19782.3506256133,30.7674343576545,121.280040471979,109.562044918304,73.7021696252466,25.0900723208415,181.174302367927,245.772888715025,90.7113438076419,238.998475102181,51.3055388103947,267.730312840052,208.459364040833,89.1359293499056,117.629193450492,333.691128091538,248.953338349159,39.1107510244094,98.4432213053884,147.570110922766,188.263045540298,15.909541511772,78.1848927356281,59.7543333546208,275.508325690142,114.504252729446,16.9166666666667,24.5568203567062,65.9854430101306,73.4161364357481,122.575315123818,96.6951086279081,46.8176623911582,32.3833287267411,302.65576094298,76.5901664185907,53.6090306273556,111.80816054149,19.629191321499,173.661056916337,24.3457249070632,416.781410435485,99.8115118545554,545.866261696484,279.384780702468,269.859578465574,156.312108910712,757.328869065382,278.324522229905,1486.64834392254,1257.38168764527,438.622604086873,514.273184948373,220.61084610772,215.983577225177,113.208168741372,207.743326127857,251.292924863301,177.783333074363,183.671741624474,258.622919018464,850.512173823582,481.456511612426,591.698675239559,91.1492176444278,197.46676100209,170.926077519185,541.286032745555,146.514832558512,117.434911242604,142.437968082719,456.732888961497,249.649878463024,341.797629372568,381.693902569359,2199.223839582
"4","Chloroflexi",9055.18479532163,130.023976608187,628.458479532164,119.588888888889,200.382456140351,125.543859649123,58.7298245614035,72.5824561403509,15.5,62.046783625731,8.33333333333333,76.3555555555556,80.0590643274854,44.7660818713451,55.9327485380117,174.606432748538,270.395906432749,9.44444444444444,68.3771929824561,77.7777777777778,66.6000000000001,9.09356725146199,50.6888888888889,16.2573099415205,53.8654970760234,19.4444444444444,17.2222222222222,0,16.8888888888889,23.2,8.33333333333333,34.3,61.5485380116959,25.8409356725146,92.4444444444445,17.7333333333333,46.0292397660818,39.7777777777778,29,128.089473684211,21.9444444444445,118,113.311111111111,262.116959064327,125.888888888889,162.422222222222,54.9999999999999,204.995321637427,125.040935672515,197.759649122807,404.904093567251,272.037426900585,174.587719298246,96.9771929824562,183.956140350877,123.7,96.1491228070176,231.498245614035,197.23567251462,122.777777777778,330.559064327485,605.05380116959,191.147368421053,40.6666666666667,22.2222222222222,110.260233918129,132.709356725146,119.868421052632,169.187134502924,70.6076023391813,85.7222222222223,79.0502923976609,243.313450292398,78.8619883040936,233.025730994152,217.363157894737
"5","Firmicutes",4509.62557706847,15,91.117016707469,38.8888888888889,18.3333333333333,12.4038461538461,43.7626586792184,20.2275759308349,41.829440905874,150,104.944444444445,229.425496786933,70.5718640995208,0.981461286804798,11.1111111111111,35.4880952380952,86.8799934013501,0,31.7948717948718,14.4444444444444,2.13523131672598,24.1107115415717,73.2070453276483,35.5555555555555,54.4444444444445,0,84.9999999999999,52.4866998081284,47.2222222222222,7.34039573207727,11.0661882663343,34.2333333333334,22.4444444444444,112.335243553009,73.4508547008547,218.145170295924,12.205096089667,28.1774569636858,0.711743772241993,152.757576542846,0,41.6025641025641,46.6666666666666,75.1709401709402,59.8204687637677,65.0000000000001,30.1602564102564,74.9252136752137,84.9999999999999,71.6666666666667,157.231033114879,103.006872852234,60.5555555555555,56.6666666666666,56.7735042735042,39.551282051282,49.4337606837607,65.2029914529915,58.9957264957265,44.9679487179487,178.151709401709,188.012820512821,68.440170940171,23.4722222222222,8.93162393162393,22.8632478632479,82.7777777777777,43.8888888888888,94.5512820512821,47.4999999999999,60.4380341880342,33.8888888888889,85.5555555555556,34.9444444444444,135.132390518988,94.4444444444445
"6","Gemmatimonadetes",6912.36526946108,103.493013972056,412.724550898204,345.548902195609,210.858283433134,142.977378576181,0,2.9940119760479,13.8955422488357,34.7604790419161,0,8.98203592814371,15.9946773120425,12.3586161011311,12.5748502994012,28.1437125748503,70.9780439121756,12.2222222222222,31.0013306719893,0,0,0,15.3459747172322,0,2.39520958083832,0,10.7784431137725,11.1177644710579,0,3.33333333333333,0,0,7.78443113772455,0,24.2049234863607,0,17.1057884231537,8.38323353293413,3.88888888888889,32.0259481037924,6.58682634730539,75.1896207584831,48.5761809713905,131.137724550898,142.531603459747,107.734530938124,97.3253493013972,254.660678642714,169.600798403194,176.823020625416,287.478376580173,313.799068529608,400.991350632069,210.066533599468,147.305389221557,83.4298070525615,187.05256154358,214.048569527612,139.846972721224,70.4723885562209,56.8862275449102,318.306719893546,210.19627411843,20.9580838323354,55.1696606786428,81.5901530272788,75.1829673985363,34.7305389221557,39.5209580838323,54.4910179640719,66.4471057884231,60.8915502328676,259.530938123753,208.709248170326,281.324018629408,227.900864936793
"7","Verrucomicrobia",16460.2719298246,195.078947368421,382.28947368421,394.649122807018,367.921052631579,217.421052631579,65.3421052631579,44.8070175438596,26.6666666666666,36.1666666666666,9.86842105263158,15.3333333333333,53.5,27.6666666666667,38.1929824561404,76.4912280701754,135.035087719298,14.2894736842105,42.3859649122807,27.3333333333333,50.8333333333334,1.97368421052632,31.9473684210526,11.3333333333333,49.0877192982456,10.8333333333333,15.8333333333334,18.3333333333333,12.3070175438597,9,12.1666666666667,12.2543859649123,14.9473684210526,13,46.5,6.66666666666667,33.5,19,9.66666666666667,59.6842105263157,6,233.491228070175,178.80701754386,339.070175438597,456.485380116959,239.921052631579,165.166666666667,530.859649122807,327.298245614035,370.061403508772,689.964912280702,494.815789473684,504.657894736842,520.254385964912,342.704678362573,161.555555555556,399.429824561404,508.809941520468,394.850877192982,343.043859649123,577.631578947368,823.412280701754,673.80701754386,94.5,242.333333333333,342.026315789474,580.269005847953,225.631578947368,334.473684210526,266.421052631579,263.543859649123,218.421052631579,342.517543859649,500.868421052632,638.921052631579,518.938596491228
"8","Alphaproteobacteria",194127.093882083,292.292213567259,1380.90026621659,852.756008935169,523.529599465995,415.251574179394,1693.4094993748,2034.11386385226,1250.07126002817,1885.92031281773,675.702468368029,1871.47544204441,2111.08296982139,1558.2909709967,1497.74370029564,3463.57064201684,2504.86663036731,815.816046477565,990.729292741423,1736.21573513939,1341.2247665697,1534.96651070755,2985.47166038942,674.306738543612,2373.68434255056,906.878966213074,818.167685453234,993.816501712938,747.282088308179,843.878404826812,825.514202224143,894.16651695358,977.188324039208,897.656908300982,2074.14371498083,872.955632816821,1127.09599572101,1241.8947403284,428.015400920182,1180.29527566484,356.435466484755,2488.19287826679,2467.39965596096,4803.53436151806,4045.78678625563,2715.25025287806,1907.0317393835,4983.51485859062,3283.6832020711,4362.51103660992,5489.63089180475,4588.94427187235,3181.53542446755,3401.67348008085,3019.08220484514,1978.07519178719,4153.22161212717,6141.08214222565,4577.13868681225,3837.07827069647,6072.15710959059,11706.1000136156,6636.03804121594,2565.17356283097,2241.56049180541,3526.28419887181,4339.2033688189,3231.43945752898,3359.62022229143,2786.45282557306,2916.89193739768,1794.92440184327,3559.87629147295,4640.53263622601,6253.28642543389,5424.40760889654
"9","Betaproteobacteria",24306.8386349506,93.0996533884621,259.28095537871,257.86907286801,175.838284192075,95.0931015071652,360.86792163218,600.321833960413,239.001126583497,468.735370096263,147.498725289192,771.450893602179,613.041651509075,242.702865584358,298.64121691745,725.507430595179,117.729664274433,108.404484586412,159.831858821372,198.641412317117,166.846032918415,47.694678004905,312.965029254598,142.665178252839,282.206573125236,108.792643158027,155.577317753301,179.432416447808,306.437742176649,80.7169505897876,182.104268261952,265.475591195808,107.493724827349,366.429108143287,347.212865614451,111.968003088382,203.52409083352,191.707589515327,41.3458158782446,395.553957131044,80.9507068881785,140.3686364997,170.054613817858,304.270142539871,442.655648053344,185.226287545477,192.980620807658,744.727953576853,381.179013686451,373.624145970256,881.265749506235,504.671915041551,519.527280823372,493.109442653187,445.570107421225,208.082958121503,343.696045809965,556.423801939555,337.029378781765,267.039217853172,408.781330923198,1135.81596350862,529.556778673525,128.912134815963,182.805722784501,376.03662684179,377.840588185077,151.708524681632,226.685181460618,193.101903649162,191.044537979005,149.85794588625,459.962948685092,740.556706939365,922.31554188685,629.695431438332
"10","Deltaproteobacteria",2841.74197299811,10.3567035670357,64.6468253968254,39.4478416212733,21.1111111111111,0,20.6041666666667,51.0681362134089,28.2380892944424,48.2886185702029,9.049512354208,87.2084087828355,83.664758419893,37.4714048278255,57.5955570331334,350.101682646547,110.395383540217,16.4785289115646,35.8239958090683,86.0255191151387,67.0732829013528,0,25.5975877294605,10.2973554735547,59.7206718942189,14.4270833333333,4.84375,13.84375,9.44444444444444,21.4305555555556,21.3333333333333,57.9791666666667,19.0561961869619,18.1172959497452,215.683794334509,16.1666666666667,24.71875,68.3830782312925,11.84375,46.5836665557127,14.7291666666667,9.44444444444445,8.74854028804982,20.1383219954649,21.030753968254,3.75,15.030612244898,62.0712915711395,14.8897591016727,44.2475198412698,82.1922066797198,46.1162840136054,38.3502551543373,22.6673881673882,12.5396825396825,24.5,20.8526785714286,33.0079365079365,24.2301587301587,6.56001984126984,17.2802579365079,76.815396446953,39.0249433106576,12.5,10.25,24.5204081632653,5.2579365079365,4,4.46428571428571,5.15873015873016,5.17460317460317,7.99455040871935,68.5279330169852,46.2488662131519,59.4914257369614,45.8151927437642
"11","Gammaproteobacteria",50228.2132387092,62.7843710315043,281.249385834555,175.465583156671,145.02272627925,117.734614661337,1197.61098585015,1709.41372561163,378.063329876682,1692.67125230931,691.006159932076,1062.2310860725,1138.80159051066,799.874472546751,859.577743046377,1926.16055632404,1227.57973116689,238.959790166392,363.841182750207,713.624815810419,936.612595550843,220.949201741655,982.858815036147,354.411868907113,1491.71604236233,990.585468449594,720.563384838692,664.146751821535,799.004304617279,494.561951784036,587.117143038391,882.647622099641,593.639736978396,677.630516593599,1687.67447029823,465.458821608897,462.402407224648,554.770866080451,186.239863938489,410.748472605131,163.31702535783,327.390638700334,281.481820503917,706.669783490308,494.354596588315,381.711535883504,282.517770927156,884.095425232869,377.890373727134,821.880803097677,923.39791545413,568.491922756568,673.890734019804,606.722109085144,545.474601242278,218.46323097888,567.018389490623,851.826469304841,606.421146193895,508.803035898773,677.124593317039,1907.18964710404,958.316170075482,344.59829836453,327.828712979337,536.373963846021,588.975765102937,415.808626741492,434.27044459957,221.196771953307,254.847437540795,493.22125726907,541.816150513095,662.814984858301,929.43699623253,1197.1606817652
"12",NA,12026.1940897733,214.101030927835,760.530415076982,776.080870561283,368.426689576174,118.4,79.1252268602539,384.475585515513,68.8888888888891,323.121905338058,72.4509409327466,281.190366721402,300.958538587849,79.2422003284073,118.370114942529,163.963159445917,234.717500031602,0,86.3823207443893,54,137.905511811024,23,137.388122605365,53.6179529282977,435.168853893263,71.7142857142853,46.1111111111113,37.0172413793102,44.7142857142858,47.0057471264367,51.0096237970256,30.7241379310344,46.8888888888891,77.5423728813557,39,11.2222222222222,55.5335196650035,53.4000000000001,17,263.30322517219,40.5,124.255172413793,39.1000000000004,180.266666666666,142.333333333334,102.088888888889,125.7,218.207298879051,137.645933562429,167.239175257731,295.359583660291,354.670775472916,414.075614903808,187.649606299212,173.188888888889,104.296678121421,124.386206896552,227.815938370299,182.849606299213,79.1999999999998,177.295588051495,317.963517111501,210.1,63.2000000000007,24,161.3,104.861855670104,66.4000000000005,70.1999999999998,107.928571428572,103.328571428571,103.099999999999,192.812195785591,236,328.057853721892,175.123711340206
